total_sqft,bath,balcony,price,bhk
1535.0,3.0,2.0,83.0,3
950.0,2.0,1.0,57.0,2
1360.0,2.0,1.0,65.0,2
1073.5,2.0,0.0,54.005,2
1280.0,3.0,1.0,50.4,3
1260.0,2.0,2.0,85.05,3
3050.0,5.0,1.0,213.0,5
1563.05,3.0,1.0,105.0,3
1000.0,2.0,1.0,60.0,2
1167.0,2.0,1.0,43.76,2
4000.0,7.0,2.0,225.0,7
890.0,2.0,1.0,35.0,2
1612.0,3.0,3.0,46.74,3
1710.0,4.0,2.0,91.31,3
957.0,2.0,1.0,58.0,2
1250.0,2.0,3.0,44.0,3
1125.0,2.0,2.0,50.0,2
1020.0,2.0,1.0,30.6,2
1200.0,2.0,2.0,50.0,2
1735.0,3.0,3.0,135.0,3
2050.0,3.0,1.0,145.0,3
3750.0,4.0,0.0,760.0,4
1350.0,2.0,3.0,48.0,3
1063.0,2.0,1.0,32.0,2
1904.0,3.0,1.0,150.0,3
4200.0,4.0,2.0,420.0,4
2000.0,3.0,1.0,175.0,3
1242.5,2.0,0.0,43.49,2
1425.0,2.0,2.0,75.0,3
1500.0,2.0,1.0,64.5,3
1060.0,2.0,1.0,60.0,2
1470.0,2.0,2.0,70.0,3
1300.0,6.0,0.0,99.0,6
450.0,1.0,1.0,11.0,1
1152.0,2.0,1.0,64.5,2
1350.0,2.0,1.0,56.0,3
1550.0,3.0,3.0,65.0,3
1500.0,3.0,2.0,100.0,3
600.0,3.0,2.0,85.0,5
400.0,1.0,0.0,14.0,1
705.0,1.0,2.0,67.0,1
770.0,1.0,1.0,36.0,2
1242.0,2.0,3.0,51.0,2
1700.0,3.0,2.0,155.0,3
2144.0,3.0,2.0,145.0,3
1704.0,3.0,2.0,110.0,3
1070.0,2.0,1.0,52.0,2
1846.0,3.0,2.0,300.0,3
1340.0,2.0,2.0,55.7,2
1025.0,2.0,1.0,46.0,2
1277.5,2.0,0.0,56.8,2
1200.0,2.0,2.0,52.0,2
2250.0,4.0,1.0,110.0,4
1550.0,2.0,3.0,80.0,3
1800.0,7.0,1.0,250.0,7
1200.0,2.0,2.0,60.0,2
1327.0,2.0,2.0,98.0,2
1186.0,2.0,2.0,58.0,2
1783.0,3.0,1.0,115.0,3
1400.0,3.0,2.0,56.0,3
980.0,2.0,1.0,48.0,2
1285.0,2.0,2.0,82.0,2
912.0,2.0,1.0,70.0,3
1225.0,2.0,2.0,47.6,2
1075.0,2.0,1.0,53.0,2
1260.0,2.0,2.0,54.0,3
1282.0,2.0,2.0,48.7,3
1909.0,3.0,2.0,88.0,3
1359.0,2.0,1.0,87.0,2
1207.0,2.0,2.0,43.5,2
1736.0,6.0,0.0,190.0,4
2850.0,4.0,1.0,428.0,4
1595.0,3.0,2.0,65.0,3
1798.0,3.0,2.0,89.0,3
1475.0,3.0,2.0,78.29,3
1580.0,3.0,3.0,100.0,3
1295.0,2.0,1.0,65.0,2
3600.0,6.0,0.0,141.0,6
589.0,1.0,1.0,27.0,1
1415.0,3.0,3.0,78.0,3
1787.0,3.0,2.0,98.29,3
1787.0,3.0,2.0,125.0,3
1475.0,2.0,3.0,90.0,3
2000.0,4.0,1.0,75.5,4
984.0,2.0,1.0,44.28,2
2405.0,4.0,2.0,260.0,3
1080.0,2.0,2.0,72.0,2
1500.0,2.0,1.0,115.0,2
1900.0,3.0,2.0,119.0,3
805.0,2.0,1.0,22.14,2
1153.0,2.0,2.0,56.4,2
1148.0,2.0,2.0,60.0,2
1110.0,2.0,2.0,55.0,2
1100.0,2.0,2.0,42.0,2
1290.0,2.0,2.0,110.0,2
1500.0,2.0,1.0,65.0,3
1080.0,2.0,2.0,39.0,2
1933.0,3.0,1.0,129.0,3
3500.0,5.0,2.0,150.0,5
1060.0,2.0,2.0,60.0,2
645.0,1.0,1.0,16.45,1
2600.0,8.0,2.0,180.0,8
645.0,1.0,1.0,16.45,1
1644.0,3.0,3.0,84.0,3
1285.0,2.0,3.0,72.5,2
1200.0,3.0,1.0,90.0,3
910.0,2.0,1.0,40.0,2
1577.0,3.0,1.0,70.0,3
4050.0,3.0,2.0,280.0,3
2420.0,3.0,2.0,185.0,3
800.0,1.0,1.0,20.0,2
1060.0,2.0,2.0,55.0,2
1270.0,2.0,2.0,93.0,2
900.0,2.0,2.0,22.5,2
1280.0,2.0,1.0,69.0,2
1200.0,2.0,0.0,95.0,4
1025.0,2.0,2.0,36.0,2
1108.0,2.0,1.0,63.0,2
3045.0,3.0,2.0,170.0,3
2900.0,3.0,2.0,300.0,4
1500.0,3.0,2.0,75.5,3
1295.0,2.0,2.0,43.9,2
1162.0,2.0,1.0,59.9,2
1035.0,2.0,2.0,49.2,2
1600.0,4.0,0.0,52.8,4
1464.0,3.0,2.0,46.0,3
1866.0,2.0,2.0,61.58,3
700.0,1.0,1.0,26.0,2
1804.0,3.0,2.0,120.0,3
913.0,2.0,1.0,32.0,2
1868.0,3.0,2.0,131.0,3
883.0,2.0,1.0,45.0,2
900.0,2.0,1.0,110.0,2
1664.0,2.0,3.0,73.95,3
2026.0,3.0,2.0,132.0,3
1210.0,2.0,1.0,80.9,2
4111.0,4.0,2.0,250.0,4
1762.0,3.0,3.0,91.45,3
1252.0,3.0,3.0,55.0,3
861.0,2.0,1.0,34.5,2
1420.0,2.0,1.0,100.0,3
1450.0,6.0,0.0,250.0,6
1490.0,3.0,1.0,78.8,3
1075.0,2.0,1.0,46.0,3
1425.0,2.0,2.0,94.0,3
1200.0,2.0,1.0,40.0,2
1280.0,2.0,2.0,56.0,3
1084.0,2.0,2.0,50.0,2
1015.0,2.0,2.0,25.88,2
1017.0,2.0,1.0,51.25,2
1027.0,2.0,2.0,44.0,2
1069.0,2.0,2.0,45.0,2
1349.0,2.0,1.0,98.2,2
1005.0,2.0,1.0,50.0,2
1417.0,2.0,3.0,75.0,2
1475.0,3.0,1.0,98.0,3
950.0,2.0,2.0,47.0,2
2000.0,4.0,0.0,120.0,4
880.0,3.0,1.0,140.0,3
1863.0,3.0,2.0,104.0,4
1010.0,2.0,1.0,29.5,2
1425.0,2.0,1.0,70.0,3
1450.0,3.0,0.0,100.0,3
1847.0,3.0,2.0,105.0,3
1100.0,2.0,3.0,45.0,2
525.0,1.0,1.0,26.0,1
1665.0,3.0,2.0,95.0,3
1664.0,4.0,3.0,65.0,4
1850.0,3.0,3.0,150.0,3
1438.0,2.0,3.0,100.0,2
1560.0,3.0,3.0,115.0,3
1350.0,2.0,1.0,55.55,2
1550.0,3.0,3.0,67.0,3
1140.0,2.0,2.0,46.5,2
1200.0,5.0,2.0,180.0,5
850.0,2.0,2.0,27.0,2
1280.0,2.0,2.0,75.0,2
1170.0,2.0,2.0,52.0,2
1113.0,2.0,1.0,51.0,2
1385.0,2.0,1.0,83.09,2
1128.0,2.0,1.0,65.0,2
1200.0,2.0,2.0,128.0,2
1200.0,4.0,3.0,165.0,4
2390.0,3.0,2.0,415.0,3
2400.0,4.0,1.0,400.0,4
1464.0,3.0,2.0,56.0,3
1200.0,2.0,2.0,55.0,2
1200.0,2.0,2.0,52.0,2
1150.0,2.0,1.0,55.0,3
1645.0,3.0,2.0,95.0,3
1000.0,2.0,1.0,67.0,2
2650.0,4.0,2.0,198.0,4
1192.0,2.0,2.0,74.0,2
2135.0,3.0,2.0,215.0,3
1173.0,2.0,1.0,58.0,2
1020.0,2.0,2.0,45.0,2
3122.0,6.0,2.0,230.0,4
1600.0,3.0,3.0,64.0,3
1200.0,2.0,0.0,79.0,2
1230.0,2.0,3.0,48.0,2
1250.0,2.0,2.0,40.0,2
1325.0,2.0,2.0,76.0,2
1850.0,3.0,1.0,150.0,3
1200.0,2.0,2.0,65.0,2
1350.0,2.0,0.0,140.0,3
1260.0,3.0,1.0,49.36,3
1800.0,3.0,0.0,150.0,3
11.0,3.0,2.0,74.0,3
1100.0,2.0,1.0,43.25,2
1508.0,2.0,1.0,77.0,2
1592.0,3.0,2.0,75.0,3
1388.0,2.0,3.0,57.0,2
630.0,1.0,1.0,28.35,1
2000.0,3.0,2.0,365.0,3
1762.0,3.0,1.0,125.0,3
950.0,2.0,2.0,50.0,2
3252.0,5.0,3.0,335.0,4
1116.0,2.0,1.0,50.0,2
1308.0,2.0,2.0,89.04,2
1200.0,3.0,0.0,90.0,3
1500.0,4.0,2.0,230.0,4
500.0,1.0,1.0,18.5,1
1075.0,2.0,1.0,52.0,2
530.0,1.0,0.0,11.66,1
1205.0,2.0,3.0,66.0,2
1075.0,2.0,2.0,60.0,2
930.0,2.0,2.0,39.0,2
1380.0,2.0,1.0,60.0,2
2483.0,5.0,2.0,212.0,4
1166.0,2.0,2.0,55.0,2
1050.0,2.0,1.0,65.0,2
2023.71,3.0,2.0,275.0,3
1200.0,2.0,2.0,46.8,2
1600.0,2.0,1.0,108.0,3
1935.0,3.0,2.0,110.0,3
451.0,1.0,0.0,29.9,1
1800.0,3.0,2.0,95.0,3
1400.0,3.0,0.0,77.0,3
1801.0,3.0,2.0,115.0,3
1200.0,1.0,1.0,36.0,2
1160.0,2.0,2.0,44.0,2
1000.0,2.0,1.0,25.0,2
950.0,2.0,1.0,40.0,2
1629.0,3.0,2.0,79.0,3
1580.0,2.0,0.0,134.0,3
1826.0,3.0,2.0,121.0,3
1245.0,2.0,1.0,94.0,2
1145.0,2.0,2.0,45.79,2
825.0,2.0,1.0,33.0,2
1693.0,3.0,3.0,108.0,3
1113.27,2.0,2.0,53.0,2
1460.0,2.0,1.0,58.0,2
1050.0,2.0,1.0,32.0,2
1260.0,2.0,2.0,55.0,2
1656.0,2.0,1.0,120.0,2
1208.0,3.0,1.0,45.0,3
1910.0,3.0,2.0,161.0,3
3252.0,4.0,1.0,230.0,4
1200.0,2.0,1.0,65.0,2
1200.0,4.0,1.0,175.0,4
1175.0,2.0,1.0,82.0,2
1000.0,2.0,0.0,165.0,2
1200.0,2.0,0.0,125.0,4
2390.0,3.0,2.0,410.0,3
12000.0,6.0,3.0,2200.0,7
550.0,1.0,1.0,62.0,2
750.0,2.0,1.0,38.0,2
1200.0,7.0,3.0,250.0,6
1550.0,3.0,3.0,64.5,3
1760.0,3.0,2.0,88.0,3
1125.0,2.0,2.0,62.0,2
1350.0,3.0,2.0,150.0,3
1000.0,2.0,1.0,55.0,2
1090.0,2.0,2.0,31.48,2
1200.0,2.0,0.0,60.0,2
1991.0,4.0,2.0,103.0,3
1060.0,2.0,1.0,26.5,2
1105.0,2.0,1.0,75.0,2
985.0,2.0,2.0,67.0,2
1533.0,5.0,3.0,85.0,6
1590.0,3.0,2.0,79.0,3
1120.0,2.0,2.0,55.0,2
1069.0,2.0,1.0,55.0,2
1933.0,3.0,2.0,140.0,3
1194.0,2.0,0.0,69.0,2
1150.0,2.0,3.0,69.0,2
1240.0,2.0,2.0,47.12,2
1419.0,2.0,2.0,48.1,2
1450.0,3.0,2.0,55.0,3
1630.0,3.0,2.0,68.29,3
708.0,1.0,1.0,40.0,2
1000.0,4.0,3.0,110.0,3
11890.0,4.0,3.0,700.0,4
1250.0,2.0,1.0,76.0,2
1400.0,2.0,1.0,95.0,3
1670.0,2.0,3.0,57.0,3
1750.0,3.0,2.0,100.0,3
1404.0,2.0,1.0,71.0,2
1715.0,2.0,2.0,95.0,3
630.0,1.0,1.0,34.65,1
1752.12,3.0,2.0,135.0,3
1650.0,3.0,2.0,78.0,3
1295.0,2.0,1.0,55.47,2
1800.0,3.0,2.0,252.0,3
1346.0,2.0,1.0,74.03,2
1200.0,4.0,2.0,200.0,4
1150.0,2.0,2.0,55.0,2
3309.0,4.0,3.0,325.0,4
1190.0,2.0,2.0,30.35,3
1620.0,3.0,2.0,98.0,3
950.0,2.0,1.0,46.96,2
5000.0,9.0,3.0,360.0,11
2450.0,3.0,0.0,120.0,3
1220.0,2.0,1.0,35.23,3
850.0,2.0,1.0,30.0,2
1020.0,2.0,2.0,63.0,2
1100.0,2.0,2.0,50.0,2
1150.0,2.0,2.0,126.0,2
1760.0,2.0,2.0,130.0,3
1800.0,3.0,3.0,110.0,3
1070.0,2.0,1.0,54.0,2
1500.0,4.0,2.0,220.0,4
1440.0,2.0,0.0,95.0,2
900.0,2.0,1.0,40.0,2
1200.0,4.0,1.0,230.0,4
1130.0,2.0,1.0,42.16,2
1320.0,2.0,1.0,165.0,2
1270.0,2.0,1.0,98.0,2
1200.0,2.0,1.0,62.0,2
1200.0,2.0,1.0,74.0,2
929.0,2.0,0.0,50.17,2
1150.0,4.0,2.0,260.0,4
1125.0,4.0,3.0,180.0,4
500.0,3.0,2.0,65.0,5
1200.0,5.0,2.0,190.0,5
1464.0,3.0,2.0,56.0,3
3600.0,4.0,3.0,400.0,4
2000.0,4.0,2.0,99.0,4
1208.0,2.0,1.0,49.0,2
1130.0,2.0,2.0,60.0,2
1753.0,3.0,2.0,120.0,3
4500.0,7.0,3.0,337.0,5
600.0,3.0,2.0,58.0,3
1196.0,2.0,2.0,94.42,2
1150.0,3.0,3.0,52.5,2
1128.0,2.0,1.0,63.0,2
1000.0,2.0,1.0,53.0,2
1035.0,2.0,1.0,45.0,2
950.0,2.0,1.0,32.0,2
1075.0,2.0,1.0,36.0,3
1040.0,2.0,1.0,48.5,2
720.0,2.0,1.0,45.0,2
1511.0,3.0,1.0,95.0,3
1300.0,3.0,1.0,58.0,3
1545.0,3.0,1.0,68.75,3
375.0,2.0,0.0,26.0,1
1062.0,2.0,3.0,38.0,2
1115.0,2.0,1.0,40.0,2
1000.0,2.0,1.0,35.0,2
883.0,2.0,1.0,45.0,2
1195.0,2.0,1.0,70.0,2
1200.0,3.0,1.0,165.0,4
700.0,1.0,0.0,41.0,1
1246.0,2.0,1.0,67.0,2
660.0,4.0,2.0,90.0,4
8500.0,4.0,2.0,145.0,4
1600.0,4.0,1.0,80.0,4
2805.0,5.0,3.0,154.0,4
3000.0,5.0,1.0,275.0,4
1175.0,2.0,2.0,48.0,3
1595.0,3.0,2.0,115.0,3
1353.0,2.0,2.0,110.0,2
1599.0,3.0,2.0,125.0,3
1150.0,2.0,1.0,70.0,2
5230.0,6.0,1.0,465.0,4
1155.0,2.0,2.0,42.74,2
1200.0,2.0,0.0,85.0,1
1000.0,2.0,1.0,25.0,2
1867.0,3.0,1.0,160.0,3
1251.0,2.0,1.0,47.0,2
1028.0,2.0,1.0,45.5,2
1222.0,2.0,2.0,45.0,2
1170.0,2.0,1.0,66.0,3
2400.0,4.0,1.0,245.0,3
1385.0,2.0,2.0,48.48,3
1372.0,2.0,1.0,68.0,2
1282.0,2.0,2.0,49.0,3
5000.0,9.0,3.0,210.0,9
3000.0,3.0,1.0,528.0,5
1135.0,2.0,1.0,39.73,2
1768.0,3.0,2.0,101.0,3
1325.0,2.0,1.0,90.0,3
1599.0,3.0,2.0,99.0,3
1500.0,3.0,1.0,61.95,3
2610.0,3.0,0.0,499.0,3
1286.0,2.0,2.0,63.0,2
2845.0,5.0,1.0,140.0,5
1317.5,2.0,0.0,63.77,2
3450.0,5.0,2.0,260.0,3
1102.0,2.0,2.0,53.67,2
1350.0,2.0,2.0,54.0,2
1200.0,2.0,2.0,42.0,3
1300.0,6.0,0.0,145.0,6
1800.0,1.0,1.0,80.0,2
950.0,2.0,1.0,40.0,2
525.0,1.0,1.0,27.25,1
656.0,2.0,1.0,25.0,2
1780.0,4.0,3.0,175.0,4
1056.0,2.0,1.0,80.0,2
595.0,1.0,1.0,33.32,1
1080.0,2.0,2.0,50.0,2
2225.0,3.0,1.0,160.0,3
1126.0,2.0,1.0,28.15,2
1490.0,3.0,1.0,84.0,3
2000.0,4.0,1.0,300.0,4
1550.0,3.0,3.0,100.0,3
1600.0,3.0,2.0,86.0,3
1160.0,2.0,1.0,55.0,2
4144.0,4.0,3.0,315.0,4
2100.0,3.0,2.0,125.0,3
1404.0,2.0,1.0,69.3,2
2230.0,4.0,3.0,225.0,4
1305.0,2.0,1.0,58.7,3
1230.0,2.0,2.0,80.0,2
1200.0,2.0,0.0,65.0,2
1460.0,3.0,1.0,73.0,3
967.0,2.0,3.0,45.0,2
540.0,1.0,1.0,36.0,1
715.0,1.0,2.0,46.0,1
2500.0,3.0,2.0,313.0,3
1578.0,3.0,1.0,180.0,3
1020.0,2.0,1.0,48.95,2
1020.0,2.0,1.0,40.0,2
1253.0,2.0,1.0,102.0,2
1180.0,2.0,2.0,42.0,2
961.0,2.0,2.0,38.0,2
1419.0,3.0,3.0,75.0,3
1709.0,3.0,2.0,150.0,3
1600.0,2.0,0.0,115.0,2
416.0,1.0,1.0,18.5,1
1100.0,2.0,2.0,98.0,2
1430.0,2.0,1.0,65.0,3
1260.0,2.0,2.0,45.0,2
1630.0,3.0,2.0,85.0,3
1249.0,3.0,2.0,44.71,3
1450.0,2.0,3.0,85.0,3
2791.0,3.0,1.0,223.0,3
600.0,1.0,0.0,90.0,1
834.0,1.0,1.0,60.0,1
1125.0,4.0,1.0,70.0,3
2060.0,3.0,2.0,140.0,3
12000.0,7.0,3.0,2200.0,7
891.0,2.0,1.0,25.0,2
1133.0,2.0,1.0,49.07,2
1075.0,2.0,1.0,37.0,3
3000.0,5.0,2.0,260.0,4
2440.0,5.0,2.0,425.0,4
1200.0,2.0,2.0,55.0,2
1075.0,2.0,2.0,45.8,2
1140.0,2.0,2.0,40.0,2
940.0,4.0,2.0,150.0,5
2160.0,5.0,1.0,250.0,6
1090.0,2.0,1.0,42.0,2
1500.0,4.0,1.0,70.0,4
4104.0,4.0,2.0,360.0,4
1920.0,3.0,2.0,134.0,3
1374.0,2.0,2.0,95.0,2
1445.0,3.0,2.0,95.0,3
711.0,1.0,1.0,36.0,1
1500.0,3.0,3.0,95.0,3
1720.0,3.0,3.0,100.0,3
1400.0,3.0,2.0,60.0,3
1030.0,2.0,2.0,49.0,2
1200.0,2.0,1.0,85.0,2
1375.0,3.0,2.0,70.0,3
2250.0,3.0,2.0,160.0,3
1000.0,2.0,2.0,50.0,2
469.0,1.0,0.0,25.0,1
3800.0,4.0,3.0,250.0,4
883.0,2.0,1.0,29.0,2
1820.0,2.0,3.0,86.0,3
1440.0,2.0,3.0,65.0,3
3600.0,4.0,1.0,160.0,6
2500.0,5.0,2.0,325.0,4
1225.0,2.0,2.0,48.0,2
4000.0,3.0,1.0,660.0,3
875.0,2.0,3.0,52.8,2
750.0,1.0,2.0,40.0,1
1180.0,2.0,3.0,80.0,2
1194.0,2.0,2.0,47.0,2
1500.0,2.0,2.0,62.0,3
1160.0,2.0,2.0,52.2,2
2378.0,3.0,1.0,262.0,3
1128.0,2.0,1.0,60.0,2
1500.0,3.0,1.0,150.0,3
1220.0,2.0,1.0,35.23,3
1210.0,2.0,2.0,58.0,2
1100.0,2.0,1.0,58.0,3
1200.0,3.0,2.0,46.0,3
1641.0,3.0,2.0,66.0,3
1200.0,2.0,1.0,45.0,2
1260.0,2.0,1.0,67.39,2
1720.0,3.0,3.0,78.0,3
1132.5,2.0,0.0,48.13,2
1210.0,2.0,1.0,45.98,2
2200.0,4.0,2.0,200.0,4
1075.0,2.0,1.0,45.0,3
1702.0,3.0,2.0,130.0,3
1630.0,2.0,2.0,200.0,2
1141.0,2.0,2.0,38.55,2
2072.0,3.0,2.0,108.0,3
1200.0,2.0,0.0,70.0,3
1350.0,3.0,0.0,77.0,3
4046.0,4.0,0.0,445.0,4
1180.0,2.0,2.0,78.34,3
35000.0,3.0,3.0,130.0,3
1355.0,2.0,2.0,115.0,2
600.0,1.0,0.0,50.0,1
1640.0,2.0,1.0,120.0,3
1200.0,5.0,0.0,100.0,5
1190.0,2.0,2.0,57.0,3
2400.0,4.0,2.0,375.0,4
1019.0,2.0,2.0,49.85,2
1875.0,3.0,2.0,165.0,3
1250.0,3.0,2.0,40.0,3
1200.0,3.0,2.0,140.0,3
1140.0,2.0,1.0,56.0,2
1683.0,3.0,1.0,109.0,3
2118.0,4.0,2.0,111.0,4
1380.0,3.0,0.0,58.0,4
1083.0,2.0,2.0,61.75,2
600.0,2.0,1.0,55.0,2
2300.0,3.0,3.0,120.0,3
1240.0,2.0,2.0,60.0,2
1750.0,3.0,1.0,120.0,3
1500.0,3.0,1.0,139.0,3
985.0,2.0,1.0,40.39,2
1500.0,2.0,1.0,87.0,3
1125.0,2.0,1.0,32.49,2
950.0,2.0,1.0,44.0,2
1580.0,3.0,3.0,76.0,3
1092.0,2.0,1.0,98.5,3
1090.0,2.0,1.0,28.34,2
2264.0,3.0,1.0,159.0,3
1033.0,2.0,2.0,25.53,3
810.0,2.0,2.0,24.5,2
1045.0,2.0,0.0,45.0,2
1337.0,2.0,1.0,82.0,2
1200.0,2.0,2.0,32.0,2
1580.0,3.0,2.0,160.0,3
1500.0,2.0,3.0,54.0,3
1640.0,4.0,2.0,91.0,3
1570.0,3.0,2.0,62.0,3
1470.0,2.0,2.0,82.0,3
1160.0,2.0,2.0,40.61,2
1050.0,2.0,1.0,71.0,2
1855.0,3.0,1.0,225.0,3
1460.0,2.0,1.0,90.0,3
1823.0,3.0,2.0,100.0,3
1094.0,2.0,2.0,42.0,2
1153.0,2.0,2.0,57.0,2
1325.0,3.0,1.0,57.0,3
1200.0,3.0,2.0,85.0,4
1590.0,2.0,2.0,125.0,3
1210.0,4.0,2.0,160.0,5
1200.0,4.0,0.0,220.0,4
1202.0,2.0,1.0,48.0,2
1202.0,2.0,1.0,53.0,2
1200.0,2.0,3.0,62.5,2
1688.0,3.0,1.0,118.0,3
1020.0,2.0,1.0,52.0,2
1185.0,2.0,2.0,47.0,2
1235.0,2.0,1.0,52.04,2
3205.0,5.0,1.0,500.0,4
1077.0,2.0,2.0,37.64,2
1415.0,2.0,3.0,66.0,3
2330.0,3.0,2.0,162.0,3
805.0,2.0,2.0,35.0,2
425.0,1.0,0.0,20.03,1
1155.0,2.0,3.0,59.95,2
5270.0,4.0,3.0,1250.0,4
656.0,2.0,1.0,22.0,2
1100.0,2.0,0.0,48.0,2
1150.0,2.0,3.0,52.0,2
600.0,1.0,1.0,60.0,1
1468.0,2.0,1.0,140.0,2
4300.0,5.0,2.0,550.0,4
2280.0,4.0,2.0,126.0,3
1341.0,2.0,1.0,97.0,2
1279.0,2.0,1.0,77.0,2
2225.0,4.0,0.0,98.88,4
1185.0,2.0,2.0,43.51,2
1750.0,3.0,2.0,85.0,3
1152.0,2.0,1.0,53.5,2
1000.0,4.0,1.0,160.0,5
1300.0,2.0,3.0,36.0,2
2760.0,4.0,2.0,155.0,4
1070.0,2.0,2.0,39.0,2
1101.0,2.0,0.0,45.0,2
775.0,2.0,1.0,55.0,2
667.0,1.0,1.0,36.85,1
1070.0,2.0,1.0,55.0,2
1875.0,2.0,2.0,110.0,3
735.0,2.0,1.0,57.99,2
4360.0,4.0,1.0,90.0,5
1750.0,3.0,2.0,130.0,3
1215.0,2.0,1.0,67.0,2
600.0,9.0,3.0,190.0,9
820.0,2.0,1.0,30.0,2
1177.5,2.0,0.0,59.935,2
1779.0,3.0,2.0,89.61,3
1105.0,2.0,2.0,58.0,2
1650.0,3.0,2.0,60.0,3
1694.0,2.0,2.0,150.0,2
